indid hapid habitat Form Site
ind277_h2 h2 rainforest M Bogoso
ind278_h2 h2 rainforest M Bogoso
ind279_h2 h2 rainforest S Bogoso
ind280_h2 h2 rainforest M Bogoso
ind281_h2 h2 rainforest S Bogoso
ind282_h2 h2 rainforest M Bogoso
ind283_h2 h2 rainforest M Bogoso
ind284_h2 h2 rainforest S Bogoso
ind285_h2 h2 rainforest S Bogoso
ind286_h2 h2 rainforest M Axim
ind287_h2 h2 rainforest S Bogoso
ind288_h2 h2 rainforest M Tarkwa
ind289_h2 h2 deciduous_forest S Dodowa
ind290_h2 h2 coastal_savannah S Tuba
ind291_h2 h2 deciduous_forest S Dodowa
ind292_h2 h2 coastal_savannah M Dzorwulu
ind293_h2 h2 coastal_savannah S Dzorwulu
ind294_h2 h2 deciduous_forest S Nsawan
ind295_h2 h2 coastal_savannah S Dzorwulu
ind296_h2 h2 coastal_savannah M Takoradi
ind297_h2 h2 coastal_savannah S Dzorwulu
ind298_h2 h2 coastal_savannah M Dzorwulu
ind299_h2 h2 deciduous_forest S Dunkwa-on-Offin
ind300_h2 h2 coastal_savannah S Dzorwulu
ind301_h2 h2 rainforest S Enchi
ind302_h2 h2 rainforest S Enchi
ind303_h2 h2 rainforest S Bogoso
ind304_h2 h2 rainforest S Enchi
ind305_h2 h2 deciduous_forest S Suhum
ind306_h2 h2 rainforest M Enchi
ind307_h2 h2 rainforest S Enchi
ind308_h2 h2 rainforest S Enchi
ind309_h2 h2 rainforest M Enchi
ind310_h2 h2 coastal_savannah S Half-Assini
ind311_h2 h2 coastal_savannah S Half-Assini
ind312_h2 h2 coastal_savannah S Half-Assini
ind313_h2 h2 coastal_savannah S Half-Assini
ind0_h2 h2 deciduous_forest S Nsawan
ind1_h2 h2 deciduous_forest M Nsawan
ind2_h2 h2 deciduous_forest M Nsawan
ind3_h2 h2 deciduous_forest M Nsawan
ind4_h2 h2 deciduous_forest M Nsawan
ind5_h2 h2 deciduous_forest S Nsawan
ind6_h2 h2 rainforest S Nkwanta
ind7_h2 h2 rainforest S Nkwanta
ind8_h2 h2 rainforest S Nkwanta
ind9_h2 h2 coastal_savannah M Mankessim
ind10_h2 h2 coastal_savannah M Mankessim
ind11_h2 h2 coastal_savannah M Mankessim
ind12_h2 h2 rainforest S Nkwanta
ind13_h2 h2 coastal_savannah M Mankessim
ind14_h2 h2 coastal_savannah M Mankessim
ind15_h2 h2 coastal_savannah M Mankessim
ind16_h2 h2 coastal_savannah M Mamprobi
ind17_h2 h2 rainforest S Nkwanta
ind18_h2 h2 coastal_savannah M Mamprobi
ind19_h2 h2 coastal_savannah M Mamprobi
ind20_h2 h2 coastal_savannah M Mamprobi
ind21_h2 h2 deciduous_forest S Koforidua
ind22_h2 h2 deciduous_forest S Koforidua
ind23_h2 h2 deciduous_forest S Koforidua
ind24_h2 h2 coastal_savannah S Madina
ind25_h2 h2 rainforest M Enchi
ind26_h2 h2 coastal_savannah S Madina
ind27_h2 h2 deciduous_forest M New-Edubiase
ind28_h2 h2 coastal_savannah S Madina
ind29_h2 h2 coastal_savannah S Madina
ind30_h2 h2 deciduous_forest S Nsawan
ind31_h2 h2 deciduous_forest S Dunkwa-on-Offin
ind32_h2 h2 coastal_savannah S Madina
ind33_h2 h2 coastal_savannah S Madina
ind34_h2 h2 coastal_savannah S Madina
ind35_h2 h2 deciduous_forest S Bantama-Kumasi
ind36_h2 h2 deciduous_forest S Asikumah
ind37_h2 h2 rainforest M "Wassa Essaman"
ind38_h2 h2 deciduous_forest M Anhiankwanta
ind39_h2 h2 coastal_savannah M Mankessim
ind40_h2 h2 deciduous_forest S Bantama-Kumasi
ind41_h2 h2 coastal_savannah S Madina
ind42_h2 h2 deciduous_forest S "Agona Dunkwa"
ind43_h2 h2 rainforest M Axim
ind44_h2 h2 deciduous_forest S Nsawan
ind45_h2 h2 coastal_savannah M Tuba
ind46_h2 h2 rainforest S "Wassa Essaman"
ind47_h2 h2 deciduous_forest S Suhum
ind48_h2 h2 rainforest M "Twifo Praso"
ind49_h2 h2 rainforest M "Wassa Essaman"
ind50_h2 h2 rainforest M Tarkwa
ind51_h2 h2 rainforest M "Twifo Praso"
ind52_h2 h2 rainforest M Asankrangwa
ind53_h2 h2 rainforest M "Twifo Praso"
ind54_h2 h2 rainforest M Bogoso
ind55_h2 h2 coastal_savannah M Tuba
ind56_h2 h2 coastal_savannah M Tuba
ind57_h2 h2 deciduous_forest S Bantama-Kumasi
ind58_h2 h2 coastal_savannah S Tuba
ind59_h2 h2 deciduous_forest S "Agona Dunkwa"
ind60_h2 h2 mangrove_swamp M Komenda
ind61_h2 h2 coastal_savannah M Mamprobi
ind62_h2 h2 mangrove_swamp M "Ada Foah"
ind63_h2 h2 coastal_savannah M Tuba
ind64_h2 h2 coastal_savannah M Tuba
ind65_h2 h2 deciduous_forest M "Assin Foso"
ind66_h2 h2 deciduous_forest S Nsawan
ind67_h2 h2 deciduous_forest S New-Edubiase
ind68_h2 h2 coastal_savannah M Takoradi
ind69_h2 h2 deciduous_forest S New-Edubiase
ind70_h2 h2 rainforest S Nkwanta
ind71_h2 h2 deciduous_forest S New-Edubiase
ind72_h2 h2 rainforest S Nkwanta
ind73_h2 h2 rainforest M Enchi
ind74_h2 h2 mangrove_swamp M "Ada Foah"
ind75_h2 h2 coastal_savannah S Dzorwulu
ind76_h2 h2 coastal_savannah M Takoradi
ind77_h2 h2 deciduous_forest M Nsawan
ind78_h2 h2 rainforest S Bogoso
ind79_h2 h2 rainforest M "Twifo Praso"
ind80_h2 h2 deciduous_forest S New-Edubiase
ind81_h2 h2 coastal_savannah S Half-Assini
ind82_h2 h2 deciduous_forest S New-Edubiase
ind83_h2 h2 deciduous_forest M New-Edubiase
ind84_h2 h2 coastal_savannah M Takoradi
ind85_h2 h2 deciduous_forest S Dodowa
ind86_h2 h2 rainforest M Enchi
ind87_h2 h2 rainforest S Enchi
ind88_h2 h2 coastal_savannah M Takoradi
ind89_h2 h2 mangrove_swamp M Komenda
ind90_h2 h2 deciduous_forest S Asikumah
ind91_h2 h2 mangrove_swamp M Komenda
ind92_h2 h2 deciduous_forest M New-Edubiase
ind93_h2 h2 deciduous_forest M New-Edubiase
ind94_h2 h2 rainforest M "Wassa Essaman"
ind95_h2 h2 coastal_savannah S Madina
ind96_h2 h2 deciduous_forest M Bantama-Kumasi
ind97_h2 h2 deciduous_forest S Koforidua
ind98_h2 h2 rainforest M "Twifo Praso"
ind99_h2 h2 rainforest M Tarkwa
ind100_h2 h2 deciduous_forest M Bantama-Kumasi
ind101_h2 h2 deciduous_forest S Nsawan
ind102_h2 h2 coastal_savannah S Dzorwulu
ind103_h2 h2 deciduous_forest S Dunkwa-on-Offin
ind104_h2 h2 rainforest M "Twifo Praso"
ind105_h2 h2 deciduous_forest M Bantama-Kumasi
ind106_h2 h2 deciduous_forest S Nsawan
ind107_h2 h2 coastal_savannah S Madina
ind108_h2 h2 deciduous_forest M New-Edubiase
ind109_h2 h2 coastal_savannah S Tuba
ind110_h2 h2 deciduous_forest M Anhiankwanta
ind111_h2 h2 deciduous_forest S New-Edubiase
ind112_h2 h2 coastal_savannah M Dzorwulu
ind113_h2 h2 deciduous_forest M Bantama-Kumasi
ind114_h2 h2 deciduous_forest S New-Edubiase
ind115_h2 h2 deciduous_forest S "Assin Foso"
ind116_h2 h2 coastal_savannah S Akatsi
ind117_h2 h2 deciduous_forest S Asikumah
ind118_h2 h2 deciduous_forest M New-Edubiase
ind119_h2 h2 deciduous_forest S New-Edubiase
ind120_h2 h2 deciduous_forest S Dodowa
ind121_h2 h2 deciduous_forest S Suhum
ind122_h2 h2 deciduous_forest S Dodowa
ind123_h2 h2 rainforest M Enchi
ind124_h2 h2 deciduous_forest M Bantama-Kumasi
ind125_h2 h2 rainforest M Tarkwa
ind126_h2 h2 coastal_savannah M Takoradi
ind127_h2 h2 rainforest M "Twifo Praso"
ind128_h2 h2 rainforest S "Wassa Essaman"
ind129_h2 h2 coastal_savannah S Madina
ind130_h2 h2 deciduous_forest S "Assin Foso"
ind131_h2 h2 coastal_savannah M Ashaiman
ind132_h2 h2 coastal_savannah S Madina
ind133_h2 h2 mangrove_swamp M "Ada Foah"
ind134_h2 h2 deciduous_forest M Bantama-Kumasi
ind135_h2 h2 deciduous_forest M New-Edubiase
ind136_h2 h2 coastal_savannah M Ashaiman
ind137_h2 h2 rainforest M Bogoso
ind138_h2 h2 coastal_savannah M Takoradi
ind139_h2 h2 deciduous_forest S Suhum
ind140_h2 h2 mangrove_swamp M Anloga
ind141_h2 h2 deciduous_forest M Nsawan
ind142_h2 h2 deciduous_forest M Bantama-Kumasi
ind143_h2 h2 coastal_savannah S Dzorwulu
ind144_h2 h2 deciduous_forest S Koforidua
ind145_h2 h2 deciduous_forest M Bantama-Kumasi
ind146_h2 h2 coastal_savannah S Madina
ind147_h2 h2 deciduous_forest M Anhiankwanta
ind148_h2 h2 deciduous_forest S Dunkwa-on-Offin
ind149_h2 h2 rainforest M Tarkwa
ind150_h2 h2 rainforest M Axim
ind151_h2 h2 deciduous_forest S Dunkwa-on-Offin
ind152_h2 h2 rainforest M Enchi
ind153_h2 h2 deciduous_forest S Dunkwa-on-Offin
ind154_h2 h2 rainforest S Nkwanta
ind155_h2 h2 deciduous_forest S "Agona Dunkwa"
ind156_h2 h2 coastal_savannah M Dzorwulu
ind157_h2 h2 deciduous_forest S Dunkwa-on-Offin
ind158_h2 h2 deciduous_forest S New-Edubiase
ind159_h2 h2 deciduous_forest M Anhiankwanta
ind160_h2 h2 rainforest S "Wassa Essaman"
ind161_h2 h2 coastal_savannah M Takoradi
ind162_h2 h2 deciduous_forest S Bantama-Kumasi
ind163_h2 h2 deciduous_forest S Dunkwa-on-Offin
ind164_h2 h2 coastal_savannah M Dzorwulu
ind165_h2 h2 deciduous_forest S New-Edubiase
ind166_h2 h2 deciduous_forest S Dunkwa-on-Offin
ind167_h2 h2 coastal_savannah M Mamprobi
ind168_h2 h2 coastal_savannah S Akatsi
ind169_h2 h2 deciduous_forest M New-Edubiase
ind170_h2 h2 deciduous_forest S Dunkwa-on-Offin
ind171_h2 h2 coastal_savannah M Tuba
ind172_h2 h2 deciduous_forest M "Assin Foso"
ind173_h2 h2 coastal_savannah S Tuba
ind174_h2 h2 deciduous_forest M New-Edubiase
ind175_h2 h2 deciduous_forest S Asikumah
ind176_h2 h2 rainforest M Enchi
ind177_h2 h2 rainforest M Tarkwa
ind178_h2 h2 deciduous_forest S New-Edubiase
ind179_h2 h2 coastal_savannah S Akatsi
ind180_h2 h2 deciduous_forest S New-Edubiase
ind181_h2 h2 rainforest M Enchi
ind182_h2 h2 deciduous_forest S Suhum
ind183_h2 h2 deciduous_forest M Bantama-Kumasi
ind184_h2 h2 deciduous_forest M Nsawan
ind185_h2 h2 rainforest S "Wassa Essaman"
ind186_h2 h2 rainforest S "Wassa Essaman"
ind187_h2 h2 mangrove_swamp M Shama
ind188_h2 h2 deciduous_forest S New-Edubiase
ind189_h2 h2 coastal_savannah S Madina
ind190_h2 h2 mangrove_swamp M Shama
ind191_h2 h2 rainforest M Asankrangwa
ind192_h2 h2 deciduous_forest M Bantama-Kumasi
ind193_h2 h2 deciduous_forest S New-Edubiase
ind194_h2 h2 rainforest M Asankrangwa
ind195_h2 h2 deciduous_forest S Koforidua
ind196_h2 h2 deciduous_forest M New-Edubiase
ind197_h2 h2 deciduous_forest M Anhiankwanta
ind198_h2 h2 mangrove_swamp M Komenda
ind199_h2 h2 deciduous_forest M Bantama-Kumasi
ind200_h2 h2 coastal_savannah M Mamprobi
ind201_h2 h2 deciduous_forest M Bantama-Kumasi
ind202_h2 h2 coastal_savannah S Tuba
ind203_h2 h2 deciduous_forest S Koforidua
ind204_h2 h2 deciduous_forest S "Assin Foso"
ind205_h2 h2 coastal_savannah S Half-Assini
ind206_h2 h2 deciduous_forest M Bantama-Kumasi
ind207_h2 h2 coastal_savannah S Madina
ind208_h2 h2 deciduous_forest S "Assin Foso"
ind209_h2 h2 deciduous_forest M Bantama-Kumasi
ind210_h2 h2 coastal_savannah S Madina
ind211_h2 h2 deciduous_forest S Suhum
ind212_h2 h2 coastal_savannah M Tuba
ind213_h2 h2 coastal_savannah S Madina
ind214_h2 h2 mangrove_swamp M Shama
ind215_h2 h2 mangrove_swamp M Shama
ind216_h2 h2 mangrove_swamp M Shama
ind217_h2 h2 mangrove_swamp M Shama
ind218_h2 h2 coastal_savannah S Madina
ind219_h2 h2 rainforest S Bogoso
ind220_h2 h2 mangrove_swamp M Komenda
ind221_h2 h2 mangrove_swamp M Komenda
ind222_h2 h2 mangrove_swamp M Komenda
ind223_h2 h2 deciduous_forest S Bantama-Kumasi
ind224_h2 h2 deciduous_forest S New-Edubiase
ind225_h2 h2 coastal_savannah S Akatsi
ind226_h2 h2 deciduous_forest S Dunkwa-on-Offin
ind227_h2 h2 deciduous_forest S Dunkwa-on-Offin
ind228_h2 h2 deciduous_forest M "Assin Foso"
ind229_h2 h2 coastal_savannah S Madina
ind230_h2 h2 deciduous_forest S Dunkwa-on-Offin
ind231_h2 h2 mangrove_swamp M "Ada Foah"
ind232_h2 h2 deciduous_forest S "Assin Foso"
ind233_h2 h2 mangrove_swamp M "Ada Foah"
ind234_h2 h2 coastal_savannah S Dzorwulu
ind235_h2 h2 mangrove_swamp M "Ada Foah"
ind236_h2 h2 mangrove_swamp M "Ada Foah"
ind237_h2 h2 deciduous_forest S "Assin Foso"
ind238_h2 h2 deciduous_forest S "Assin Foso"
ind239_h2 h2 deciduous_forest S Dodowa
ind240_h2 h2 deciduous_forest M "Assin Foso"
ind241_h2 h2 deciduous_forest M "Assin Foso"
ind242_h2 h2 rainforest M Axim
ind243_h2 h2 deciduous_forest S "Assin Foso"
ind244_h2 h2 deciduous_forest S Dodowa
ind245_h2 h2 deciduous_forest S Suhum
ind246_h2 h2 deciduous_forest M "Assin Foso"
ind247_h2 h2 deciduous_forest M "Assin Foso"
ind248_h2 h2 coastal_savannah M Dzorwulu
