Node label	Matching Sequences
	DW-Dod11_h2
71-DW-Mad56_h2	71-DW-Mad56_h2
	DW-Asi9_h1
7-DW-Suh19_h2	7-DW-Suh19_h2
	DW-AF17_h1
72-DW-Mad57_h1	72-DW-Mad57_h1
	83-DW-Mad68_h2
	DW-Bog12_h2
75-DW-Mad60_h1	75-DW-Mad60_h1
	84-DW-Mad69_h1
183-DW-NeA-9_h2	183-DW-NeA-9_h2
	DW-AF24_h1
	DW-Nsa5_h1
22-DW-Tak6_h1	22-DW-Tak6_h1
	31-DW-Tub7_h1
157-DW-DoM-2_h1	157-DW-DoM-2_h1
	44-DW-TP7_h2
	DW-Man12_h1
	DW-Nsa13_h1
26-DW-Tub2_h2	26-DW-Tub2_h2
	DW-Anl17_h2
	DW-Dzo8_h1
14-DW-Tar10_h1	14-DW-Tar10_h1
	43-DW-TP6_h2
	DW-Asa5_h2
	DW-Mam2_h2
10-DW-Tar5_h2	10-DW-Tar5_h2
	11-DW-Tar6_h1
	120-DW-AnB-5_h1
	120-DW-AnB-5_h2
	123-DW-AnB-8_h2
	125-DW-AnB-10_h1
	125-DW-AnB-10_h2
	12-DW-Tar7_h1
	135-DW-NeA-79_h2
	138-DW-NeA-84_h1
	139-DW-NeA-87_h2
	13-DW-Tar8_h1
	13-DW-Tar8_h2
	148-DW-AnB-49_h2
	149-DW-AnB-50_h1
	149-DW-AnB-50_h2
	151-DW-AnB-53_h2
	157-DW-DoM-2_h2
	158-DW-DoM-3_h1
	158-DW-DoM-3_h2
	159-DW-DoM-4_h1
	159-DW-DoM-4_h2
	15-DW-Tar11_h2
	160-DW-DoM-5_h2
	163-DW-DoM-9_h1
	163-DW-DoM-9_h2
	164-DW-DoM-49_h2
	165-DW-DoM-50_h1
	166-DW-DoM-51_h1
	166-DW-DoM-51_h2
	167-DW-DoM-52_h1
	167-DW-DoM-52_h2
	169-DW-DoM-54_h2
	170-DW-DoM-55_h1
	170-DW-DoM-55_h2
	171-DW-DoM-56_h1
	171-DW-DoM-56_h2
	173-DW-NeA-11_h1
	174-DW-NeA-12_h1
	175-DW-NeA-16_h1
	175-DW-NeA-16_h2
	176-DW-NeA-17_h1
	177-DW-NeA-20_h2
	178-DW-NeA-23_h2
	18-DW-Tak2_h2
	190-DW-Sha16_h1
	191-DW-Kom6_h1
	192-DW-Kom7_h1
	192-DW-Kom7_h2
	20-DW-Tak4_h1
	20-DW-Tak4_h2
	21-DW-Tak5_h1
	21-DW-Tak5_h2
	23-DW-Tak7_h2
	24-DW-Tak8_h2
	25-DW-Tub1_h1
	25-DW-Tub1_h2
	27-DW-Tub3_h2
	29-DW-Tub5_h1
	29-DW-Tub5_h2
	37-DW-Tub14_h1
	38-DW-Tub15_h1
	41-DW-TP4_h2
	42-DW-TP5_h2
	43-DW-TP6_h1
	45-DW-TP9_h2
	46-DW-TP10_h1
	46-DW-TP10_h2
	47-DW-TP11_h1
	48-DW-TP15_h1
	57-DW-WE11_h1
	57-DW-WE11_h2
	59-DW-WE19_h1
	59-DW-WE19_h2
	61-DW-WE27_h1
	62-DW-WE28_h1
	62-DW-WE28_h2
